datasets,f1-dcli,auc-dcli,prec-dcli,recall-dcli,mcc-dcli,effort-dcli
activemq,0.5116647244388781,0.81676416226486,0.48398286747706276,0.5454092533891788,0.41369398687372944,0.46281705440648196
camel,0.5018855304800278,0.8497966599536311,0.43359228760683666,0.5973198202496192,0.43224057543663513,0.40093898940787975
derby,0.44894555810774417,0.8079022864251728,0.383236487944469,0.5446470379901941,0.368707447422764,0.4338297760609743
geronimo,0.49550400177861753,0.8373315291261776,0.44498867338072323,0.5604420012119999,0.42552215749282524,0.48737875650062845
hbase,0.5922721977043407,0.8423126739126902,0.5424664357156121,0.6533285162273013,0.49406165232797655,0.49273782798877297
hcommon,0.48060505578220314,0.8857899947816419,0.42469268448769554,0.5556073613821647,0.4464554743318569,0.6619616307227312
mahout,0.546584366309754,0.8419363734887382,0.4883888549409526,0.6303683262349883,0.46168881857989286,0.33495174581813236
openjpa,0.43168589791651196,0.7943756058119267,0.3747493294559704,0.5138446473202674,0.35720188598992386,0.3981835689121432
pig,0.5104401195735162,0.8097937521101268,0.4704816552821107,0.5646054353448829,0.41878861272657736,0.4087864632437498
tuscany,0.3740835034248878,0.8310730601199546,0.30914634060938645,0.4754211473377531,0.3255690822905625,0.4017147026465279
