datasets,f1-ori,f1-cl,f1-cli,f1-dcli,auc-ori,auc-cl,auc-cli,auc-dcli,prec-ori,prec-cl,prec-cli,prec-dcli,recall-ori,recall-cl,recall-cli,recall-dcli,mcc-ori,mcc-cl,mcc-cli,mcc-dcli,effort-ori,effort-cl,effort-cli,effort-dcli
activemq,0.3963323069679828,0.480915808779225,0.5027391468914477,0.49135722219072236,0.6287883632562213,0.6796793252571958,0.7328025211179487,0.8201852195114151,0.6427932535478906,0.5618444777459592,0.41682245095821785,0.385052447397869,0.28819426989816394,0.42247757381761525,0.6358866390191302,0.6833649340784893,0.3651064048624311,0.40452631274496087,0.39731886007727424,0.38541725713476505,0.3247587302291076,0.3852385384582214,0.5055595412053976,0.5224829058288821
camel,0.3396582280559788,0.4653428979576466,0.4717452973206303,0.45895629496512436,0.6074437833954022,0.6844848296898737,0.7629817952241715,0.849444551894807,0.6401907009495675,0.5262003475890762,0.35988710022474446,0.33688039602575187,0.23207305725615174,0.41850903768517494,0.6864231033519526,0.7239639404577615,0.34229187469005573,0.40798070412279985,0.405675358172624,0.39688385251963826,0.21879057805248037,0.3265773978993103,0.418360247342817,0.4253148482266623
derby,0.277145526476054,0.40838418960726147,0.43176704954238065,0.4205645564456361,0.5823607413754661,0.6500412474832877,0.7336488483683804,0.8063156985030593,0.6199702014261715,0.502122154534609,0.3246950268910019,0.3065122799962486,0.1795983882454272,0.3461769936393232,0.647548789855158,0.6749936061098845,0.2916766428575788,0.3537175379592369,0.35526741830242964,0.34588254431754717,0.298805671965099,0.31808378990885183,0.4670715391347784,0.4733488018858929
geronimo,0.36537631294573225,0.44989325156993265,0.46883559333645747,0.4571360115690729,0.6178773942914887,0.6728227693698172,0.7583342569902782,0.8441181285483866,0.6694073653511511,0.5338626566761533,0.3606785450877047,0.3379479771962751,0.25205069498562505,0.3899866217092236,0.6713534659283126,0.7092758171525677,0.36915561843101863,0.397295546657727,0.40180048658653716,0.39388490770946893,0.425526201155941,0.3656848870770577,0.5450447377085049,0.5614133373434594
hbase,0.4581361258578571,0.533269716072595,0.5481250953322541,0.5403523997867923,0.6551501927273821,0.7089416601272254,0.7542836056402225,0.8246570501717349,0.6687941172621051,0.5670029378281376,0.4511039187930175,0.4285315420889197,0.34912314488489304,0.5042512474790932,0.6993790137098321,0.7335733695737712,0.4079718321566763,0.4376248921511772,0.43620600079215766,0.4283329518625564,0.2837164726163677,0.380020986884967,0.4974821637383651,0.5171131723081851
hcommon,0.1837404911819847,0.34420781975633424,0.3877480066331399,0.36760793607106124,0.5519938097656906,0.620865290145722,0.770580068639988,0.8703942161329659,0.6141324683161156,0.5234203143912837,0.2758159241470147,0.24990883121397772,0.10849164753581748,0.2572843301704186,0.6550188013173004,0.698655908453735,0.24008559823605732,0.3387581463099119,0.3681370197794569,0.3564044287411677,0.6502837742215857,0.676325227665459,0.6133696643902915,0.6371900516160673
mahout,0.44502165356485357,0.5321550423533458,0.5417730155394199,0.5355158048525264,0.6570299910042496,0.7196126401061284,0.7677553791739249,0.8569588078087673,0.6154346403238451,0.5627619840444774,0.45380693782354725,0.43124186890184346,0.3545093842963887,0.5110190700990294,0.6827537644769499,0.7183844868677798,0.39739733636950225,0.4563396752399906,0.4566548856620087,0.45158616791738515,0.23175238579418758,0.28892783107251385,0.35671567064667936,0.3682671530090617
openjpa,0.20648244249437023,0.36212336778118115,0.3904208283760883,0.38113398552066136,0.5579101012098784,0.6289413404365315,0.7182866768618557,0.7969913975581331,0.6276041425607989,0.4633183650809201,0.28376179518794586,0.26880532237928845,0.12508437019560975,0.30030070500075456,0.6308638001189694,0.6616289546598003,0.2456867624227202,0.31281164285736796,0.31721878254249253,0.3104332499202072,0.28915302494238215,0.26864867296364914,0.43559319815576425,0.43685148494490916
pig,0.4149343553934609,0.49545077311459285,0.48391578050411105,0.48032631622780075,0.6396981282138029,0.6882518174134924,0.7232933612717007,0.814858721692026,0.6649345464448603,0.6021685766238295,0.409487595339039,0.38626235769071965,0.30683401621722395,0.4266772813683713,0.6006302709667983,0.6444591022048345,0.3905680799639464,0.4346833546301513,0.384261920036398,0.38041139035738236,0.27190200268757914,0.3415631109143282,0.4074563569636459,0.4255834886766701
tuscany,0.1793839665405571,0.3471768666453135,0.3473620044904461,0.3367034570461912,0.550309321389925,0.6304937335169879,0.7502205173372215,0.8418839008061723,0.5944628876348814,0.4381471353870382,0.23594954066938612,0.22412124388531668,0.10613563385193596,0.2887157565591365,0.6606590138998923,0.6805550788361598,0.230271890225301,0.31706995041233144,0.32131150669241537,0.3138898469846525,0.630650102473077,0.5063626374422182,0.49540998444957374,0.49557726812636405
