datasets,f1-dcli,auc-dcli,prec-dcli,recall-dcli,mcc-dcli,effort-dcli
activemq,0.46998278665259213,0.8098048890196669,0.5894288325537439,0.3928037165985727,0.40389517137095654,0.38024773257020467
camel,0.454786342783406,0.8426667674236462,0.5461059662591037,0.39105598089596044,0.40378013921811073,0.31716265925524345
derby,0.3827921618346523,0.7985475517972116,0.540930763744567,0.29788504649234643,0.34489477044829453,0.30169584012027073
geronimo,0.44724535826417194,0.8276419278840148,0.5901422637382929,0.3611106754340803,0.40942829121182667,0.36826671865430216
hbase,0.5815735272033761,0.8415196532789239,0.6199306324028494,0.5486085873836277,0.4964892326526752,0.4331011798623183
hcommon,0.43502858055187377,0.8766745130475154,0.6619447608206391,0.3251239214583642,0.4403041600725547,0.7181162060079018
mahout,0.5388636627603927,0.8346125758128101,0.5684285887591056,0.5184469167404944,0.46396516821151285,0.29322595948188396
openjpa,0.35238264470982744,0.7825976289744979,0.547840057415143,0.2624605476193757,0.329647517426611,0.2628625041185978
pig,0.5023946547778702,0.7998368924412276,0.6174887417041216,0.42928208770757115,0.44469718835186206,0.3523104557625743
tuscany,0.2687952777953979,0.8178436151154347,0.53513676317353,0.1803995060353943,0.2827779600566711,0.6166748685437258
