datasets,f1-dcli,auc-dcli,prec-dcli,recall-dcli,mcc-dcli,effort-dcli
activemq,0.480386016741558,0.8109911805678459,0.5827553181512295,0.410590952765206,0.4102370529121931,0.3909277688993698
camel,0.48095886368445395,0.8422133366886536,0.5126260787346433,0.4542482069910282,0.4189132970701679,0.34806415073352276
derby,0.41326905034167094,0.7998296195283576,0.5120485432533113,0.3486353123974993,0.3603069272643028,0.3296265359784876
geronimo,0.4698704532966743,0.8293236046542745,0.5514731467306965,0.4104987714895126,0.4183106499083772,0.3902485915457131
hbase,0.5907027144860109,0.8424327025687735,0.6114453575935619,0.5725245130801031,0.5035344357046588,0.4509677492125107
hcommon,0.4623101384685359,0.8801217646714801,0.6251063957450478,0.3680671943086746,0.45398097770120527,0.7161101285425292
mahout,0.550979410171361,0.8375380442478866,0.5548664817695262,0.5538543191714482,0.47340144960979974,0.31088960200728666
openjpa,0.3656951618476164,0.7816491531424067,0.5141376344691445,0.28667648603421,0.3298949267064969,0.2618975986412772
pig,0.5077337016512958,0.8007941661694181,0.5903823947501615,0.45095851914005164,0.44189221420945185,0.3693425007200728
tuscany,0.32001347719311163,0.8146010649298697,0.477302331383901,0.24199053751472505,0.3057548375402366,0.5472099876591667
