dataset,f1-IF,auc-IF,prec-IF,recall-IF,mcc-IF,effort-IF,f1-CLNI-KNN,auc-CLNI-KNN,prec-CLNI-KNN,recall-CLNI-KNN,mcc-CLNI-KNN,effort-CLNI-KNN,f1-OSS,auc-OSS,prec-OSS,recall-OSS,mcc-OSS,effort-OSS
activemq,0.3950817633202777,0.6287854890064387,0.6228755688696139,0.2912679784384117,0.3580321203925768,0.3473450532780438,0.24325778454881367,0.5683340748189125,0.7359826537164375,0.14681960969417138,0.2834386038891997,0.5348676079440433,0.4238398891098548,0.6425284132242984,0.631814780680982,0.3207776902054726,0.3817523643383816,0.35534244837343243
camel,0.335706390376894,0.6066567263527074,0.6021603180867252,0.23365680556215604,0.3289661868844712,0.2642841380261869,0.25077060399818524,0.5723108792130267,0.6871134979854824,0.15391970966490792,0.2905034753023271,0.19900917358487336,0.41218440599790596,0.6427914531236195,0.6127340757132911,0.31146636483891715,0.387846241808709,0.28137925688033355
derby,0.3076316437126797,0.5949996326121165,0.5813363958169657,0.21055587944364063,0.3024202961591239,0.3557959018769256,0.18715534845355036,0.5512073541807452,0.7055312151799533,0.1085498512911571,0.24621463834828683,0.42153201964276477,0.35276336143992204,0.6148391422195616,0.5860619978178224,0.2537664012886874,0.3359174324384746,0.31989112153267946
geronimo,0.3698708388266629,0.6219187904026061,0.6158843898624731,0.2653182743639734,0.3579883110832277,0.45007239850090885,0.26410607615164217,0.576912475983667,0.7323774585287328,0.16148514364519856,0.3116848251505674,0.6135847918061365,0.40952641292242686,0.6405931101392691,0.628031012983618,0.30466426601200375,0.3905359462630411,0.4153883321447175
hbase,0.5364810147746177,0.6968841830890288,0.7010470985180801,0.43549949132436394,0.4794499045259947,0.39589713741787885,0.4034072798427625,0.628161505690899,0.7224642924272279,0.2805227913867579,0.38543810070663254,0.23434085985704164,0.6077938365239036,0.7419089944804212,0.7083032200666627,0.5330603847741349,0.5427192011951341,0.4540080439472556
hcommon,0.34554341825655477,0.6121067490386769,0.6973120597901441,0.23087565175869562,0.3803864966873006,0.6842854747182021,0.08397814581259691,0.5218877948328011,0.7869260633157691,0.044566627345701874,0.17652945729038783,0.6548356091419965,0.40287987963991145,0.6389711359446004,0.6828242973441567,0.28680515370673676,0.4202630872694974,0.7049241017576663
mahout,0.4530021875721665,0.6623603848949456,0.599902605062753,0.36988731295215976,0.3989088983726622,0.257263865662945,0.4398246070512773,0.6519447549295485,0.663401585617281,0.33503100123168666,0.40797033449738385,0.20682633397948158,0.4818611090897386,0.679803975133456,0.5999399233611247,0.4091230222056785,0.4221913731530159,0.2501640355842928
openjpa,0.2628321541672002,0.578327680569138,0.573221873329552,0.1725881985944942,0.27262825569918653,0.39229373138755397,0.10429328596490761,0.5271791321863721,0.7670873015873017,0.05650708797946802,0.18645438104937767,0.44006192409236367,0.3085917668920636,0.5964012816453497,0.5954359446065143,0.21034064637724112,0.3110565397141005,0.2525673122613531
pig,0.45746438311565135,0.6649798051465273,0.6046088630563673,0.3740089406507401,0.4045829864528597,0.3402883588848956,0.33352177626709356,0.6023407044778897,0.7425767469974126,0.21863537938119157,0.3528963259252394,0.20603090727471257,0.4954070136683561,0.6871207526832339,0.6117563040079184,0.42194280235446663,0.4372836492826037,0.36548900314858296
tuscany,0.16689168634246138,0.5465556833090959,0.5524007054165272,0.09912268936371771,0.21187404139286956,0.6181466422907497,0.027032627353327655,0.5068042758669351,0.7950714285714287,0.013822879628426835,0.09581219371125908,0.6273141011880635,0.20230724728225927,0.5581654071919923,0.588664823885141,0.12280749789772594,0.2465590431974324,0.6237479189485325
